epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.503,1.07019,1.66194,1.23951,0.58716,0.57195,0.56358,0.36306,1.16573,1.40824,1.42065,0.000369878,0.000369878,0.000369878
2,682.831,1.06696,1.14069,1.24194,0.73505,0.64114,0.72864,0.50416,1.03279,0.99835,1.2877,0.000691357,0.000691357,0.000691357
3,1009.19,1.04747,1.04221,1.23202,0.73079,0.65825,0.73457,0.50479,1.06063,0.99803,1.32025,0.000963953,0.000963953,0.000963953
4,1322.07,1.03256,0.99047,1.22663,0.76215,0.68387,0.76626,0.54797,0.9948,0.89577,1.25793,0.000891022,0.000891022,0.000891022
5,1642.75,1.00106,0.9249,1.2068,0.79408,0.7164,0.80559,0.58309,1.0004,0.82902,1.25606,0.000817696,0.000817696,0.000817696
6,1952.71,1.05028,0.86676,1.23198,0.8146,0.73845,0.82497,0.60909,0.94822,0.78291,1.22108,0.00074437,0.00074437,0.00074437
7,2239.42,1.02527,0.80965,1.21841,0.80072,0.75263,0.83122,0.61661,0.93722,0.75452,1.2122,0.000671044,0.000671044,0.000671044
8,2533.37,1.01183,0.77393,1.20419,0.79421,0.76961,0.84252,0.63458,0.90992,0.72847,1.18132,0.000597718,0.000597718,0.000597718
9,2833.25,0.99433,0.73796,1.19361,0.83265,0.76212,0.85341,0.64142,0.90203,0.70978,1.17533,0.000524392,0.000524392,0.000524392
10,3121.64,0.97524,0.70924,1.17655,0.84361,0.77595,0.86492,0.65926,0.88558,0.671,1.15828,0.000451066,0.000451066,0.000451066
11,3393.61,0.96336,0.68018,1.16746,0.83961,0.79499,0.87276,0.66479,0.88282,0.65133,1.1528,0.00037774,0.00037774,0.00037774
12,3686.8,0.94735,0.6575,1.15725,0.85852,0.79167,0.87603,0.67321,0.86352,0.63409,1.13662,0.000304414,0.000304414,0.000304414
13,3974.13,0.93607,0.63322,1.14652,0.85284,0.80125,0.88269,0.68003,0.85951,0.62145,1.13139,0.000231088,0.000231088,0.000231088
14,4259.03,0.92199,0.60683,1.13821,0.85378,0.80951,0.8876,0.68581,0.85289,0.60692,1.12495,0.000157762,0.000157762,0.000157762
15,4555.89,0.90651,0.58577,1.12564,0.86077,0.80555,0.88982,0.6904,0.84543,0.59829,1.11756,8.4436e-05,8.4436e-05,8.4436e-05
